dtype,config,n,k,tokens,dist,min_m,max_m,avg_m,cluster_m,cluster_n,raster,max_sm,use_pdl,gflops_1sm,gflops_2sm,gflops,kernel
RCGrouped-FP8,1SM,4096,6144,245760,imbalanced,3840,61440,15360.0,4,2,M,-1,1,2501810.0,3339800.0,3339800.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,imbalanced,3840,61440,15360.0,4,2,M,-1,1,2501810.0,3339800.0,3339800.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,uniform,30720,30720,30720.0,1,1,M,-1,0,2385550.0,0.0,2385550.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,uniform,30720,30720,30720.0,1,1,M,-1,1,2356230.0,0.0,2356230.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,uniform,30720,30720,30720.0,2,1,M,-1,0,2492410.0,3252840.0,3252840.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,uniform,30720,30720,30720.0,2,1,M,-1,0,2492410.0,3252840.0,3252840.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,uniform,30720,30720,30720.0,2,1,M,-1,1,2375170.0,3106110.0,3106110.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,uniform,30720,30720,30720.0,2,1,M,-1,1,2375170.0,3106110.0,3106110.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,uniform,30720,30720,30720.0,2,2,M,-1,0,2293830.0,3113260.0,3113260.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,uniform,30720,30720,30720.0,2,2,M,-1,0,2293830.0,3113260.0,3113260.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,uniform,30720,30720,30720.0,2,2,M,-1,1,2389430.0,3024800.0,3024800.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,uniform,30720,30720,30720.0,2,2,M,-1,1,2389430.0,3024800.0,3024800.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,uniform,30720,30720,30720.0,4,2,M,-1,0,2356420.0,3069820.0,3069820.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,uniform,30720,30720,30720.0,4,2,M,-1,0,2356420.0,3069820.0,3069820.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,uniform,30720,30720,30720.0,4,2,M,-1,1,2455270.0,3140720.0,3140720.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,uniform,30720,30720,30720.0,4,2,M,-1,1,2455270.0,3140720.0,3140720.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,imbalanced,8128,122880,30720.0,1,1,M,-1,0,2390740.0,0.0,2390740.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,imbalanced,8128,122880,30720.0,1,1,M,-1,1,2399690.0,0.0,2399690.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,imbalanced,8128,122880,30720.0,2,1,M,-1,0,2375760.0,3101980.0,3101980.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,imbalanced,8128,122880,30720.0,2,1,M,-1,0,2375760.0,3101980.0,3101980.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,imbalanced,8128,122880,30720.0,2,1,M,-1,1,2384650.0,3119390.0,3119390.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,imbalanced,8128,122880,30720.0,2,1,M,-1,1,2384650.0,3119390.0,3119390.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,imbalanced,8128,122880,30720.0,2,2,M,-1,0,2292620.0,3157730.0,3157730.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,imbalanced,8128,122880,30720.0,2,2,M,-1,0,2292620.0,3157730.0,3157730.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,imbalanced,8128,122880,30720.0,2,2,M,-1,1,2344130.0,3277970.0,3277970.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,imbalanced,8128,122880,30720.0,2,2,M,-1,1,2344130.0,3277970.0,3277970.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,imbalanced,8128,122880,30720.0,4,2,M,-1,0,2458420.0,3153120.0,3153120.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,imbalanced,8128,122880,30720.0,4,2,M,-1,0,2458420.0,3153120.0,3153120.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,491520,imbalanced,8128,122880,30720.0,4,2,M,-1,1,2460870.0,3264870.0,3264870.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,491520,imbalanced,8128,122880,30720.0,4,2,M,-1,1,2460870.0,3264870.0,3264870.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,6144,2048,30720,uniform,1920,1920,1920.0,1,1,M,-1,0,2212740.0,0.0,2212740.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,6144,2048,30720,uniform,1920,1920,1920.0,1,1,M,-1,1,2241990.0,0.0,2241990.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,6144,2048,30720,uniform,1920,1920,1920.0,2,1,M,-1,0,2213430.0,2695260.0,2695260.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,6144,2048,30720,uniform,1920,1920,1920.0,2,1,M,-1,0,2213430.0,2695260.0,2695260.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,6144,2048,30720,uniform,1920,1920,1920.0,2,1,M,-1,1,2244650.0,2712380.0,2712380.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,6144,2048,30720,uniform,1920,1920,1920.0,2,1,M,-1,1,2244650.0,2712380.0,2712380.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,6144,2048,30720,uniform,1920,1920,1920.0,2,2,M,-1,0,2114220.0,2735230.0,2735230.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,6144,2048,30720,uniform,1920,1920,1920.0,2,2,M,-1,0,2114220.0,2735230.0,2735230.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,6144,2048,30720,uniform,1920,1920,1920.0,2,2,M,-1,1,2133660.0,2771150.0,2771150.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,6144,2048,30720,uniform,1920,1920,1920.0,2,2,M,-1,1,2133660.0,2771150.0,2771150.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,6144,2048,30720,uniform,1920,1920,1920.0,4,2,M,-1,0,2032810.0,2730220.0,2730220.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,6144,2048,30720,uniform,1920,1920,1920.0,4,2,M,-1,0,2032810.0,2730220.0,2730220.0,92_blackwell_moe_gemm_rcgrouped
